district,age,monthly_income_rwf,loan_amount_rwf,loan_term_months,has_collateral,previous_loans_count,default
Rubavu,39,184000,513400,36,1,0,0
Rubavu,43,98600,97800,12,0,2,0
Nyagatare,43,688700,909400,12,0,1,0
Nyarugenge,39,312100,461000,24,1,3,0
Nyagatare,56,118700,444000,12,0,2,0
Nyagatare,61,80000,269300,36,0,0,0
Rubavu,55,83800,242900,12,0,2,0
Musanze,43,156600,345700,24,0,0,0
Gasabo,22,136300,322800,6,0,2,0
Kicukiro,47,253100,175600,12,0,1,0
Nyagatare,40,506700,1211600,24,0,6,0
Rubavu,50,166100,130600,12,0,2,0
Rubavu,40,151600,365500,18,0,1,0
Gasabo,52,95000,204300,6,1,2,0
Gasabo,28,115800,320500,12,1,0,0
Nyagatare,31,146900,160900,6,1,1,0
Kicukiro,53,109000,124300,36,1,0,0
Nyarugenge,51,170200,101900,18,0,0,0
Rubavu,56,318300,1265300,18,1,0,1
Kicukiro,57,145300,385100,18,1,1,0
Rubavu,34,125300,201300,18,0,1,0
Nyarugenge,22,264400,550800,36,1,0,1
Kicukiro,41,149900,217500,18,0,3,0
Musanze,18,106700,177600,12,0,2,0
Kicukiro,36,175900,662700,6,0,1,1
Rubavu,27,108000,246400,12,0,4,0
Gasabo,24,78900,167700,12,0,4,0
Nyagatare,35,148200,223600,12,1,2,0
Kicukiro,20,92500,257200,24,0,2,0
Gasabo,32,213400,359500,12,0,1,0
Nyagatare,64,120900,107700,18,1,3,0
Gasabo,20,137100,170000,12,1,2,0
Rubavu,49,160200,526000,12,0,1,1
Gasabo,26,124800,262500,24,1,0,0
Nyarugenge,31,122900,486400,24,1,2,0
Rubavu,46,154300,360400,24,1,2,0
Nyagatare,59,86800,162400,24,0,2,0
Gasabo,44,107800,214500,12,0,2,0
Nyagatare,57,138200,540000,12,0,3,0
Rubavu,36,120700,390100,24,0,2,0
Musanze,38,163300,177300,24,1,0,0
Rubavu,41,79300,188900,12,0,3,0
Gasabo,46,117600,347300,12,1,0,0
Musanze,46,86500,314100,36,1,2,0
Nyarugenge,33,143600,551800,12,0,1,0
Gasabo,63,136900,492200,18,0,2,1
Nyagatare,51,119900,375600,36,1,1,0
Nyagatare,18,165700,609500,36,0,1,0
Musanze,19,88700,203200,12,0,3,0
Rubavu,42,45900,41800,12,0,4,0
Nyarugenge,57,213900,411400,36,0,4,0
Musanze,54,100000,394900,18,1,2,0
Gasabo,60,117400,136900,24,1,2,0
Rubavu,65,154300,538100,24,1,2,0
Rubavu,40,102800,226500,12,1,1,0
Nyagatare,61,120900,103100,18,0,0,0
Rubavu,19,121900,461300,36,1,0,0
Nyagatare,38,236600,167800,24,1,2,0
Kicukiro,26,172000,566500,12,0,1,0
Gasabo,41,374300,1490100,12,0,0,1
Musanze,64,356600,615200,6,0,1,0
Musanze,45,149900,267400,12,1,2,1
Kicukiro,53,131300,204900,12,0,2,0
Rubavu,32,293400,351300,18,1,3,0
Nyarugenge,40,157400,464300,36,1,1,0
Nyagatare,43,99800,54200,6,1,0,0
Musanze,43,130700,83400,18,1,0,0
Nyagatare,64,138200,159700,12,0,2,0
Nyarugenge,48,211600,664800,6,0,2,1
Nyagatare,60,193200,523500,24,0,1,0
Gasabo,30,524600,1763900,6,0,2,1
Nyagatare,64,292800,963500,6,0,2,0
Nyarugenge,63,119900,77800,18,0,0,1
Rubavu,41,201900,759700,36,0,2,0
Musanze,56,57000,182600,24,1,4,0
Nyagatare,42,132900,513900,18,1,2,0
Gasabo,40,226200,215100,36,0,1,0
Kicukiro,45,186800,433500,18,0,2,0
Nyarugenge,20,231000,335500,18,0,2,0
Kicukiro,36,109700,202300,18,0,0,0
Nyarugenge,61,169600,543700,24,0,2,0
Kicukiro,55,235500,472500,12,0,0,0
Gasabo,35,103700,277400,12,1,0,0
Gasabo,35,120800,402700,12,1,0,0
Nyagatare,22,171600,384200,12,1,1,0
Nyagatare,43,83200,84700,12,0,2,1
Musanze,47,78500,78600,6,1,1,0
Gasabo,29,89300,290000,12,0,0,0
Nyarugenge,55,65400,107100,6,1,1,0
Nyarugenge,49,158600,420000,6,0,0,1
Gasabo,21,81400,283600,12,0,3,0
Gasabo,48,132300,367600,18,0,1,1
Gasabo,31,203000,650200,12,0,1,1
Nyagatare,23,137400,487700,24,1,1,1
Musanze,57,62300,111200,12,0,0,0
Kicukiro,18,99400,79600,12,0,0,0
Nyarugenge,60,66100,72800,12,1,3,0
Nyagatare,62,94100,225600,12,1,2,0
Kicukiro,33,63500,139400,12,0,1,0
Kicukiro,54,368600,970400,12,0,0,0
Rubavu,62,166500,500000,12,1,1,0
Kicukiro,31,114200,353000,6,0,2,1
Musanze,50,93300,71200,24,0,2,0
Rubavu,50,215200,398500,12,1,1,0
Nyarugenge,29,106700,59500,12,1,3,0
Gasabo,61,78500,210800,6,1,0,0
Rubavu,19,116800,398100,18,1,3,0
Gasabo,50,253100,224000,12,1,0,0
Rubavu,57,194800,736900,12,1,0,1
Musanze,24,285200,361600,18,1,1,0
Kicukiro,21,134700,462300,12,1,1,0
Rubavu,56,82600,77400,36,0,0,0
Gasabo,48,66000,42600,24,0,4,0
Nyarugenge,22,202700,678900,12,0,1,1
Kicukiro,45,150100,224700,12,0,1,0
Rubavu,58,111100,276400,36,1,2,0
Nyarugenge,48,242800,687300,36,1,0,0
Nyarugenge,44,344200,413300,24,0,1,0
Rubavu,64,96900,350300,6,0,1,1
Gasabo,59,79500,172000,6,1,2,0
Nyarugenge,44,211700,382500,18,1,2,0
Kicukiro,45,64400,58800,24,0,2,0
Nyarugenge,43,35200,77700,24,1,0,0
Musanze,20,104300,396500,24,1,1,0
Nyagatare,39,242000,557100,12,1,1,0
Nyagatare,62,152900,347800,6,0,1,1
Nyarugenge,38,138800,460700,18,1,3,0
Gasabo,28,123100,373000,24,1,2,0
Musanze,51,80000,238900,12,1,2,0
Kicukiro,55,92500,259300,12,0,3,0
Nyarugenge,62,68400,255100,24,1,0,0
Nyarugenge,36,136200,523500,12,0,1,0
Rubavu,63,78800,210400,12,0,1,0
Nyagatare,35,234100,358500,18,1,1,1
Rubavu,64,93600,241300,12,0,2,0
Musanze,35,111700,225500,36,1,0,0
Nyagatare,52,146600,426800,12,0,4,0
Gasabo,26,111500,74700,6,0,2,0
Nyagatare,31,104700,72800,12,0,1,0
Kicukiro,65,67500,73900,18,0,2,0
Rubavu,23,167800,367400,12,0,1,0
Nyarugenge,40,163500,270800,24,0,0,0
Rubavu,58,112500,121000,6,1,5,0
Kicukiro,36,64500,201400,12,0,0,0
Kicukiro,19,106800,169500,12,0,2,0
Nyarugenge,63,278200,1059200,36,0,0,0
Nyagatare,50,152300,269400,6,1,2,1
Musanze,25,291400,554800,6,1,1,0
Gasabo,22,113000,221300,12,0,1,0
Nyagatare,47,244000,725700,24,0,1,0
Nyarugenge,30,206100,719600,12,0,2,0
Musanze,54,144900,519800,12,0,2,0
Gasabo,18,252700,620300,18,1,4,0
Kicukiro,55,76500,262000,12,0,1,0
Nyarugenge,20,118500,173600,18,0,5,0
Gasabo,65,53800,157000,18,0,2,1
Musanze,39,75800,260900,24,0,2,0
Musanze,40,108700,396400,36,0,1,1
Rubavu,27,164400,486700,12,0,3,1
Nyagatare,48,158700,185000,12,1,1,0
Musanze,40,226100,792200,6,0,1,1
Gasabo,41,84500,230600,12,1,0,0
Nyagatare,61,229000,539600,36,0,1,0
Rubavu,28,210000,774000,12,0,4,0
Musanze,26,124000,75400,12,0,2,0
Rubavu,29,226400,135000,24,0,1,0
Nyarugenge,57,103000,128400,24,0,1,0
Gasabo,21,141400,216800,18,1,1,0
Kicukiro,65,311600,825300,24,1,3,0
Kicukiro,25,46000,142800,24,0,1,1
Nyarugenge,34,54800,85900,6,0,3,0
Rubavu,24,156600,479100,12,0,2,1
Musanze,25,77400,201200,36,0,2,0
Gasabo,31,380000,316700,18,0,0,0
Nyarugenge,34,272000,834300,12,0,0,0
Rubavu,20,250700,904900,12,1,2,0
Gasabo,57,87700,139600,24,1,1,0
Nyarugenge,22,86100,52700,36,1,1,0
Nyagatare,20,143200,72100,24,0,2,0
Kicukiro,47,194000,772000,18,0,0,0
Rubavu,55,69800,97800,18,1,1,0
Rubavu,31,275500,580300,6,1,4,0
Rubavu,42,227800,363700,36,1,0,0
Rubavu,18,91900,58700,18,0,0,0
Musanze,39,191100,572200,6,0,1,1
Gasabo,53,82900,305600,24,1,2,0
Kicukiro,61,184200,421500,6,0,2,0
Nyarugenge,65,128700,407900,12,0,3,0
Nyagatare,44,189900,595900,12,0,2,1
Kicukiro,47,161200,609000,12,1,0,0
Gasabo,33,148800,474100,18,1,2,0
Kicukiro,22,191200,716800,6,0,4,1
Nyagatare,39,139900,296200,18,1,3,0
Nyagatare,64,190900,319800,12,1,3,0
Nyagatare,45,201200,673700,24,0,1,0
Nyagatare,62,106200,140900,12,0,2,0
Nyarugenge,28,84500,138800,12,0,1,0
Kicukiro,45,258300,922500,12,0,1,0
Rubavu,18,241500,144600,24,0,2,0
Nyagatare,39,197500,183000,18,1,5,0
Kicukiro,43,98000,245900,24,0,3,0
Rubavu,63,91200,280900,24,0,3,0
Nyarugenge,21,39500,67500,12,0,3,0
Nyagatare,23,144700,178300,12,1,0,0
Musanze,18,88800,113300,12,0,3,0
Musanze,63,439500,1415700,18,1,0,0
Nyarugenge,35,247800,892600,6,0,2,0
Rubavu,28,150400,381400,6,1,1,0
Nyagatare,57,226000,842700,18,0,1,1
Nyarugenge,41,54600,133700,36,0,3,0
Nyagatare,57,178500,162300,36,1,2,0
Gasabo,20,122000,229100,12,1,1,0
Rubavu,37,270100,267700,24,1,1,0
Kicukiro,40,200600,542900,18,1,0,0
Nyagatare,30,126000,220500,18,1,0,0
Gasabo,42,213300,110000,24,0,2,0
Gasabo,20,252300,901500,12,1,1,0
Musanze,25,175400,516700,24,0,2,1
Rubavu,46,66600,110400,24,0,1,0
Nyarugenge,55,91100,46600,6,1,2,0
Musanze,25,90200,192800,18,0,3,0
Nyagatare,59,123400,71600,12,1,0,0
Rubavu,53,132800,502700,24,0,2,0
Nyarugenge,50,159400,409200,12,1,2,0
Rubavu,43,70800,165300,12,1,2,0
Gasabo,59,147700,354900,12,0,1,1
Nyagatare,38,243200,844900,36,0,5,0
Kicukiro,23,66800,89400,6,1,0,0
Musanze,53,285700,1019500,24,1,0,0
Musanze,33,113700,209400,12,0,2,0
Rubavu,58,115800,420700,12,0,1,1
Nyarugenge,22,121900,332100,24,1,2,0
Nyagatare,45,151000,76400,18,1,1,0
Musanze,26,134700,463500,12,1,0,1
Nyagatare,19,135200,173500,12,0,0,0
Nyagatare,38,282400,706100,18,0,2,0
Nyagatare,20,195800,338800,12,1,2,0
Musanze,64,122600,312600,12,0,0,1
Nyagatare,61,193500,276800,24,1,2,0
Kicukiro,31,151400,483800,12,0,0,1
Musanze,26,109900,339400,6,0,0,1
Gasabo,39,238400,726300,18,0,2,0
Gasabo,29,75500,87800,36,0,2,0
Nyarugenge,18,171000,109800,24,0,1,0
Rubavu,28,80900,94200,24,0,1,0
Kicukiro,59,51800,123200,18,1,1,0
Kicukiro,51,67200,115800,36,0,2,0
Musanze,45,258300,651800,24,0,0,0
Musanze,49,82800,95200,6,0,1,0
Gasabo,29,130800,74100,18,1,0,0
Kicukiro,49,102800,76100,12,0,0,0
Nyarugenge,54,85900,51000,12,1,2,0
Nyarugenge,51,103000,242000,6,1,2,0
Nyagatare,27,80800,79700,12,0,1,0
Nyarugenge,47,215900,748600,24,1,0,0
Rubavu,32,112200,258700,12,0,1,1
Gasabo,20,78400,170100,12,1,1,0
Kicukiro,27,525400,334700,18,0,1,0
Musanze,29,96800,349300,36,0,2,0
Rubavu,19,65100,114700,12,0,2,0
Nyarugenge,52,112800,439100,18,0,1,0
Kicukiro,35,147500,197300,24,1,1,0
Gasabo,23,146800,525100,6,0,1,1
Musanze,65,204100,119900,12,0,4,0
Gasabo,56,127500,325300,6,0,2,0
Nyagatare,49,216600,279600,24,0,1,0
Nyagatare,32,216400,838900,12,0,0,1
Nyarugenge,35,197600,567200,36,0,5,0
Gasabo,40,56100,97900,36,0,3,0
Musanze,34,126600,135400,36,0,1,0
Musanze,23,67300,257000,24,0,2,0
Musanze,57,202600,439600,24,1,1,0
Kicukiro,38,55700,210600,6,1,1,1
Rubavu,20,453600,277300,12,1,1,0
Kicukiro,40,204400,612100,36,0,1,1
Nyarugenge,22,184300,491800,24,1,1,0
Kicukiro,64,158300,373600,36,0,2,0
Rubavu,51,166600,346400,18,0,1,1
Gasabo,57,262300,1030500,18,1,1,0
Nyarugenge,50,169800,617500,6,1,1,1
Kicukiro,42,153500,182600,24,0,1,1
Nyarugenge,28,123000,347000,18,0,2,0
Kicukiro,34,128800,488400,36,0,2,0
Nyagatare,59,159200,298000,6,0,1,0
Kicukiro,50,174700,401800,12,1,1,0
Rubavu,61,50300,125700,12,0,2,0
Musanze,37,149500,554500,12,0,2,1
Gasabo,36,104900,143900,6,0,2,0
Rubavu,62,72700,220500,24,1,2,0
Nyagatare,36,75300,119200,18,1,2,0
Rubavu,18,111600,260800,18,0,0,0
Nyagatare,30,92900,265800,6,1,4,0
Gasabo,63,96500,184400,12,1,0,0
Gasabo,39,111200,129300,12,0,2,0
Gasabo,34,85400,116800,6,1,1,0
Rubavu,64,155000,440500,24,0,2,0
